IP LINLIN
DP 293.0 1.375718e-04
DP 294.0 1.352210e-04
DP 295.0 1.329127e-04
DP 296.0 1.306462e-04
DP 297.0 1.284207e-04
DP 298.0 1.262353e-04
DP 299.0 1.240892e-04
DP 300.0 1.219818e-04
DP 301.0 1.199122e-04
DP 302.0 1.178798e-04
DP 303.0 1.158838e-04
DP 304.0 1.139236e-04
DP 305.0 1.119984e-04
DP 306.0 1.101075e-04
DP 307.0 1.082504e-04
DP 308.0 1.064264e-04
DP 309.0 1.046349e-04
DP 310.0 1.028751e-04
DP 311.0 1.011466e-04
DP 312.0 9.944881e-05
DP 313.0 9.778104e-05
DP 314.0 9.614276e-05
DP 315.0 9.453343e-05
DP 316.0 9.295250e-05
DP 317.0 9.139944e-05
DP 318.0 8.987372e-05
DP 319.0 8.837484e-05
DP 320.0 8.690228e-05
DP 321.0 8.545556e-05
DP 322.0 8.403420e-05
DP 323.0 8.263772e-05
DP 324.0 8.126567e-05
DP 325.0 7.991758e-05
DP 326.0 7.859302e-05
DP 327.0 7.729154e-05
DP 328.0 7.601273e-05
DP 329.0 7.475616e-05
DP 330.0 7.352142e-05
DP 331.0 7.230811e-05
DP 332.0 7.111583e-05
DP 333.0 6.994421e-05
DP 334.0 6.879285e-05
DP 335.0 6.766140e-05
DP 336.0 6.654948e-05
DP 337.0 6.545673e-05
DP 338.0 6.438281e-05
DP 339.0 6.332738e-05
DP 340.0 6.229009e-05
DP 341.0 6.127063e-05
DP 342.0 6.026865e-05
DP 343.0 5.928385e-05
DP 344.0 5.831592e-05
DP 345.0 5.736455e-05
DP 346.0 5.642943e-05
DP 347.0 5.551029e-05
DP 348.0 5.460682e-05
DP 349.0 5.371875e-05
DP 350.0 5.284579e-05
DP 351.0 5.198769e-05
DP 352.0 5.114417e-05
DP 353.0 5.031497e-05
DP 354.0 4.949983e-05
DP 355.0 4.869850e-05
DP 356.0 4.791074e-05
DP 357.0 4.713630e-05
DP 358.0 4.637495e-05
DP 359.0 4.562645e-05
DP 360.0 4.489057e-05
DP 361.0 4.416710e-05
DP 362.0 4.345580e-05
DP 363.0 4.275647e-05
DP 364.0 4.206889e-05
DP 365.0 4.139286e-05
DP 366.0 4.072817e-05
DP 367.0 4.007461e-05
DP 368.0 3.943200e-05
DP 369.0 3.880015e-05
DP 370.0 3.817885e-05
DP 371.0 3.756793e-05
DP 372.0 3.696721e-05
DP 373.0 3.637650e-05
DP 374.0 3.579563e-05
DP 375.0 3.522443e-05
DP 376.0 3.466273e-05
DP 377.0 3.411037e-05
DP 378.0 3.356717e-05
DP 379.0 3.303298e-05
DP 380.0 3.250765e-05
DP 381.0 3.199102e-05
DP 382.0 3.148294e-05
DP 383.0 3.098326e-05
DP 384.0 3.049183e-05
DP 385.0 3.000852e-05
DP 386.0 2.953317e-05
DP 387.0 2.906566e-05
DP 388.0 2.860585e-05
DP 389.0 2.815361e-05
DP 390.0 2.770880e-05
DP 391.0 2.727130e-05
DP 392.0 2.684098e-05
DP 393.0 2.641772e-05
DP 394.0 2.600139e-05
DP 395.0 2.559189e-05
DP 396.0 2.518908e-05
DP 397.0 2.479286e-05
DP 398.0 2.440312e-05
DP 399.0 2.401974e-05
DP 400.0 2.364261e-05
DP 401.0 2.327163e-05
DP 402.0 2.290670e-05
DP 403.0 2.254770e-05
DP 404.0 2.219455e-05
DP 405.0 2.184713e-05
DP 406.0 2.150536e-05
DP 407.0 2.116913e-05
DP 408.0 2.083836e-05
DP 409.0 2.051295e-05
DP 410.0 2.019281e-05
DP 411.0 1.987784e-05
DP 412.0 1.956798e-05
DP 413.0 1.926312e-05
DP 414.0 1.896318e-05
DP 415.0 1.866808e-05
DP 416.0 1.837774e-05
DP 417.0 1.809208e-05
DP 418.0 1.781102e-05
DP 419.0 1.753449e-05
DP 420.0 1.726240e-05
DP 421.0 1.699468e-05
DP 422.0 1.673126e-05
DP 423.0 1.647207e-05
DP 424.0 1.621703e-05
DP 425.0 1.596609e-05
DP 426.0 1.571916e-05
DP 427.0 1.547618e-05
DP 428.0 1.523709e-05
DP 429.0 1.500182e-05
DP 430.0 1.477031e-05
DP 431.0 1.454250e-05
DP 432.0 1.431831e-05
DP 433.0 1.409771e-05
DP 434.0 1.388061e-05
DP 435.0 1.366698e-05
DP 436.0 1.345674e-05
DP 437.0 1.324984e-05
DP 438.0 1.304624e-05
DP 439.0 1.284586e-05
DP 440.0 1.264867e-05
DP 441.0 1.245460e-05
DP 442.0 1.226361e-05
DP 443.0 1.207564e-05
DP 444.0 1.189065e-05
DP 445.0 1.170859e-05
DP 446.0 1.152940e-05
DP 447.0 1.135305e-05
DP 448.0 1.117948e-05
DP 449.0 1.100865e-05
DP 450.0 1.084051e-05
DP 451.0 1.067503e-05
DP 452.0 1.051215e-05
DP 453.0 1.035184e-05
DP 454.0 1.019404e-05
DP 455.0 1.003873e-05
DP 456.0 9.885862e-06
DP 457.0 9.735393e-06
DP 458.0 9.587285e-06
DP 459.0 9.441501e-06
DP 460.0 9.298003e-06
DP 461.0 9.156753e-06
DP 462.0 9.017715e-06
DP 463.0 8.880853e-06
DP 464.0 8.746132e-06
DP 465.0 8.613517e-06
DP 466.0 8.482974e-06
DP 467.0 8.354470e-06
DP 468.0 8.227971e-06
DP 469.0 8.103445e-06
DP 470.0 7.980860e-06
DP 471.0 7.860186e-06
DP 472.0 7.741390e-06
DP 473.0 7.624443e-06
DP 474.0 7.509316e-06
DP 475.0 7.395978e-06
DP 476.0 7.284401e-06
DP 477.0 7.174556e-06
DP 478.0 7.066417e-06
DP 479.0 6.959955e-06
DP 480.0 6.855143e-06
DP 481.0 6.751956e-06
DP 482.0 6.650366e-06
DP 483.0 6.550350e-06
DP 484.0 6.451880e-06
DP 485.0 6.354933e-06
DP 486.0 6.259484e-06
DP 487.0 6.165510e-06
DP 488.0 6.072987e-06
DP 489.0 5.981891e-06
DP 490.0 5.892200e-06
DP 491.0 5.803891e-06
DP 492.0 5.716943e-06
DP 493.0 5.631334e-06
DP 494.0 5.547042e-06
DP 495.0 5.464048e-06
DP 496.0 5.382329e-06
DP 497.0 5.301866e-06
DP 498.0 5.222638e-06
DP 499.0 5.144627e-06
DP 500.0 5.067813e-06
EN
